id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
base_group_access_nh_clinical_pos,admin:access_nh_clinical_pos,model_nh_clinical_pos,nh_clinical_base.group_nhc_base,1,0,0,0
base_group_access_nh_clinical_location,admin:access_nh_clinical_location,model_nh_clinical_location,nh_clinical_base.group_nhc_base,1,0,0,0
base_group_access_nh_clinical_patient,admin:access_nh_clinical_patient,model_nh_clinical_patient,nh_clinical_base.group_nhc_base,1,0,0,0
base_group_access_nh_cancel_reason,admin:access_nh_cancel_reason,model_nh_cancel_reason,nh_clinical_base.group_nhc_base,1,0,0,0
base_group_access_nh_activity,admin:access_nh_activity,model_nh_activity,nh_clinical_base.group_nhc_base,1,0,0,0
base_group_access_nh_activity_data,admin:access_nh_activity_data,model_nh_activity_data,nh_clinical_base.group_nhc_base,1,0,0,0
base_group_access_res_users,admin:access_res_users,model_res_users,nh_clinical_base.group_nhc_base,1,0,0,0
base_group_access_res_partner,admin:access_res_partner,model_res_partner,nh_clinical_base.group_nhc_base,1,0,0,0
base_group_access_nh_clinical_device,admin:access_nh_clinical_device,model_nh_clinical_device,nh_clinical_base.group_nhc_base,1,0,0,0
base_group_access_nh_clinical_device_type,admin:access_nh_clinical_device_type,model_nh_clinical_device_type,nh_clinical_base.group_nhc_base,1,0,0,0
base_group_access_demo_env,admin:access_demo_env,model_nh_clinical_demo_env,nh_clinical_base.group_nhc_base,1,0,0,0
,,,,,,,
admin_group_access_nh_clinical_pos,admin:access_nh_clinical_pos,model_nh_clinical_pos,nh_clinical_base.group_nhc_admin,1,1,1,1
admin_group_access_nh_clinical_location,admin:access_nh_clinical_location,model_nh_clinical_location,nh_clinical_base.group_nhc_admin,1,1,1,1
admin_group_access_nh_clinical_patient,admin:access_nh_clinical_patient,model_nh_clinical_patient,nh_clinical_base.group_nhc_admin,1,1,1,1
admin_group_access_nh_activity,admin:access_nh_activity,model_nh_activity,nh_clinical_base.group_nhc_admin,1,1,1,1
admin_group_access_nh_cancel_reason,admin:access_nh_cancel_reason,model_nh_cancel_reason,nh_clinical_base.group_nhc_admin,1,1,1,1
admin_group_access_nh_activity_data,admin:access_nh_activity_data,model_nh_activity_data,nh_clinical_base.group_nhc_admin,1,1,1,1
admin_group_access_res_users,admin:access_res_users,model_res_users,nh_clinical_base.group_nhc_admin,1,1,1,1
admin_group_access_res_partner,admin:access_res_partner,model_res_partner,nh_clinical_base.group_nhc_admin,1,1,1,1
admin_group_access_nh_clinical_device,admin:access_nh_clinical_device,model_nh_clinical_device,nh_clinical_base.group_nhc_admin,1,1,1,1
admin_group_access_nh_clinical_device_type,admin:access_nh_clinical_device_type,model_nh_clinical_device_type,nh_clinical_base.group_nhc_admin,1,1,1,1
admin_group_access_demo_env,admin:access_demo_env,model_nh_clinical_demo_env,nh_clinical_base.group_nhc_base,1,1,1,1
,,,,,,,
dev_group_access_nh_clinical_pos,admin:access_nh_clinical_pos,model_nh_clinical_pos,nh_clinical_base.group_nhc_dev,1,1,1,1
dev_group_access_nh_clinical_location,admin:access_nh_clinical_location,model_nh_clinical_location,nh_clinical_base.group_nhc_dev,1,1,1,1
dev_group_access_nh_clinical_patient,admin:access_nh_clinical_patient,model_nh_clinical_patient,nh_clinical_base.group_nhc_dev,1,1,1,1
dev_group_access_nh_activity,admin:access_nh_activity,model_nh_activity,nh_clinical_base.group_nhc_dev,1,1,1,1
dev_group_access_nh_cancel_reason,admin:access_nh_cancel_reason,model_nh_cancel_reason,nh_clinical_base.group_nhc_dev,1,1,1,1
dev_group_access_nh_activity_data,admin:access_nh_activity_data,model_nh_activity_data,nh_clinical_base.group_nhc_dev,1,1,1,1
dev_group_access_res_users,admin:access_res_users,model_res_users,nh_clinical_base.group_nhc_dev,1,1,1,1
dev_group_access_res_partner,admin:access_res_partner,model_res_partner,nh_clinical_base.group_nhc_dev,1,1,1,1
dev_group_access_nh_clinical_device,admin:access_nh_clinical_device,model_nh_clinical_device,nh_clinical_base.group_nhc_dev,1,1,1,1
dev_group_access_nh_clinical_device_type,admin:access_nh_clinical_device_type,model_nh_clinical_device_type,nh_clinical_base.group_nhc_dev,1,1,1,1
dev_group_access_demo_env,admin:access_demo_env,model_nh_clinical_demo_env,nh_clinical_base.group_nhc_dev,1,1,1,1
,,,,,,,
adt_group_access_nh_clinical_pos,admin:access_nh_clinical_pos,model_nh_clinical_pos,nh_clinical_base.group_nhc_adt,1,1,1,1
adt_group_access_nh_clinical_location,admin:access_nh_clinical_location,model_nh_clinical_location,nh_clinical_base.group_nhc_adt,1,1,1,1
adt_group_access_nh_clinical_patient,admin:access_nh_clinical_patient,model_nh_clinical_patient,nh_clinical_base.group_nhc_adt,1,1,1,1
adt_group_access_nh_activity,admin:access_nh_activity,model_nh_activity,nh_clinical_base.group_nhc_adt,1,1,1,1
