id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
base_group_access_wardboard,admin:access_wardboard,model_t4_clinical_wardboard,t4clinical_base.group_t4clinical_base,1,0,0,0
base_group_access_workload,admin:access_workload,model_t4_activity_workload,t4clinical_base.group_t4clinical_base,1,0,0,0
base_group_access_placement,admin:access_placement,model_t4_clinical_placement,t4clinical_base.group_t4clinical_base,1,0,0,0
base_group_access_overdue,admin:access_overdue,model_t4_clinical_overdue,t4clinical_base.group_t4clinical_base,1,0,0,0
base_group_access_userboard,admin:access_userboard,model_t4_clinical_userboard,t4clinical_base.group_t4clinical_base,1,0,0,0
base_group_access_admin_userboard,admin:access_admin_userboard,model_t4_clinical_admin_userboard,t4clinical_base.group_t4clinical_base,1,0,0,0
base_group_access_doctor_activities,admin:access_doctor_activities,model_t4_clinical_doctor_activities,t4clinical_base.group_t4clinical_base,1,0,0,0
,,,,,,,
access_wardboard,admin:access_wardboard,model_t4_clinical_wardboard,t4clinical_base.group_t4clinical_admin,1,1,1,0
access_workload,admin:access_workload,model_t4_activity_workload,t4clinical_base.group_t4clinical_admin,1,1,1,0
access_placement,admin:access_placement,model_t4_clinical_placement,t4clinical_base.group_t4clinical_admin,1,1,1,0
access_overdue,admin:access_overdue,model_t4_clinical_overdue,t4clinical_base.group_t4clinical_admin,1,1,1,0
access_userboard,admin:access_userboard,model_t4_clinical_userboard,t4clinical_base.group_t4clinical_admin,1,1,1,0
access_admin_userboard,admin:access_admin_userboard,model_t4_clinical_admin_userboard,t4clinical_base.group_t4clinical_admin,1,1,1,0
access_doctor_activities,admin:access_doctor_activities,model_t4_clinical_doctor_activities,t4clinical_base.group_t4clinical_admin,1,1,1,0
,,,,,,,
access_wardboard,dev:access_wardboard,model_t4_clinical_wardboard,t4clinical_base.group_t4clinical_dev,1,1,1,1
access_workload,dev:access_workload,model_t4_activity_workload,t4clinical_base.group_t4clinical_dev,1,1,1,1
access_placement,dev:access_placement,model_t4_clinical_placement,t4clinical_base.group_t4clinical_dev,1,1,1,1
access_overdue,dev:access_overdue,model_t4_clinical_overdue,t4clinical_base.group_t4clinical_dev,1,1,1,1
access_userboard,dev:access_userboard,model_t4_clinical_userboard,t4clinical_base.group_t4clinical_dev,1,1,1,1
access_admin_userboard,dev:access_admin_userboard,model_t4_clinical_admin_userboard,t4clinical_base.group_t4clinical_dev,1,1,1,1
access_doctor_activities,dev:access_doctor_activities,model_t4_clinical_doctor_activities,t4clinical_base.group_t4clinical_dev,1,1,1,1
,,,,,,,
access_wardboard,manager:access_wardboard,model_t4_clinical_wardboard,t4clinical_base.group_t4clinical_ward_manager,1,1,1,0
access_workload,manager:access_workload,model_t4_activity_workload,t4clinical_base.group_t4clinical_ward_manager,1,1,1,0
access_placement,manager:access_placement,model_t4_clinical_placement,t4clinical_base.group_t4clinical_ward_manager,1,1,1,0
access_overdue,manager:access_overdue,model_t4_clinical_overdue,t4clinical_base.group_t4clinical_ward_manager,1,1,1,0
access_userboard,manager:access_userboard,model_t4_clinical_userboard,t4clinical_base.group_t4clinical_ward_manager,1,1,1,0
access_admin_userboard,manager:access_admin_userboard,model_t4_clinical_admin_userboard,t4clinical_base.group_t4clinical_ward_manager,1,1,1,0
access_doctor_activities,manager:access_doctor_activities,model_t4_clinical_doctor_activities,t4clinical_base.group_t4clinical_ward_manager,1,1,1,0
